#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        64   -3.7008387266e-01    2.9385233595e-01   -1.0975648992e+00    7.2748102655e-01   -1.0975648992e+00    1.2800000000e+02    6.0448593759e-05    1.0000000000e+00
        65   -3.6916794562e-01    2.9374140176e-01   -1.0987212426e+00    7.2955329702e-01   -1.0987212426e+00    1.2800000000e+02    5.9823354499e-05    1.0000000000e+00
        66   -3.6718470544e-01    2.9435453928e-01   -1.1068170996e+00    7.3963239412e-01   -1.1068170996e+00    1.2800000000e+02    6.0439843745e-05    1.0000000000e+00
        67   -3.6439391248e-01    2.9225532966e-01   -1.0990765109e+00    7.3468259843e-01   -1.0990765109e+00    1.2800000000e+02    6.0453735342e-05    1.0000000000e+00
        68   -3.6719631505e-01    2.9359956013e-01   -1.1028490374e+00    7.3565272235e-01   -1.1028490374e+00    1.2800000000e+02    5.9913793946e-05    1.0000000000e+00
        69   -3.6938599466e-01    2.9601408579e-01   -1.1026172023e+00    7.3323120761e-01   -1.1026172023e+00    1.2800000000e+02    6.0061547863e-05    1.0000000000e+00
        70   -3.7611144991e-01    2.9977971294e-01   -1.1048422031e+00    7.2873075314e-01   -1.1048422031e+00    1.2800000000e+02    6.0015117183e-05    1.0000000000e+00
        71   -3.6744650679e-01    2.9714893276e-01   -1.0984026264e+00    7.3095611965e-01   -1.0984026264e+00    1.2800000000e+02    6.0373271477e-05    1.0000000000e+00
        72   -3.6965261409e-01    3.0076859114e-01   -1.1065592378e+00    7.3690662375e-01   -1.1065592378e+00    1.2800000000e+02    5.9355644524e-05    1.0000000000e+00
        73   -3.6499775460e-01    2.9965498223e-01   -1.1013261612e+00    7.3632840662e-01   -1.1013261612e+00    1.2800000000e+02    6.0161054687e-05    1.0000000000e+00
        74   -3.6313731162e-01    2.9449392619e-01   -1.1055974224e+00    7.4246011077e-01   -1.1055974224e+00    1.2800000000e+02    6.0007924821e-05    1.0000000000e+00
        75   -3.6443946445e-01    2.9754911861e-01   -1.1015741417e+00    7.3713467725e-01   -1.1015741417e+00    1.2800000000e+02    5.9859404290e-05    1.0000000000e+00
        76   -3.5810399567e-01    2.9334678513e-01   -1.0981600754e+00    7.4005607976e-01   -1.0981600754e+00    1.2800000000e+02    6.0359140626e-05    1.0000000000e+00
        77   -3.4830119062e-01    2.8672722627e-01   -1.0930400961e+00    7.4473890549e-01   -1.0930400961e+00    1.2800000000e+02    6.0208100592e-05    1.0000000000e+00
        78   -3.4840770827e-01    2.8755076715e-01   -1.0855288314e+00    7.3712112315e-01   -1.0855288314e+00    1.2800000000e+02    6.0237880877e-05    1.0000000000e+00
        79   -3.4950654275e-01    2.8779568245e-01   -1.0874344725e+00    7.3792792979e-01   -1.0874344725e+00    1.2800000000e+02    5.9935292974e-05    1.0000000000e+00
        80   -3.5464853638e-01    2.9083121862e-01   -1.0939903646e+00    7.3934182819e-01   -1.0939903646e+00    1.2800000000e+02    5.9820263674e-05    1.0000000000e+00
        81   -3.6403639772e-01    2.9546070244e-01   -1.0930566851e+00    7.2902028740e-01   -1.0930566851e+00    1.2800000000e+02    6.0485498034e-05    1.0000000000e+00
        82   -3.6738823786e-01    2.9823430917e-01   -1.1027889049e+00    7.3540066704e-01   -1.1027889049e+00    1.2800000000e+02    6.0089848626e-05    1.0000000000e+00
        83   -3.7324180666e-01    3.0417144875e-01   -1.1081587048e+00    7.3491689813e-01   -1.1081587048e+00    1.2800000000e+02    6.0387338866e-05    1.0000000000e+00
        84   -3.7079381574e-01    3.0386472044e-01   -1.1058246924e+00    7.3503087664e-01   -1.1058246924e+00    1.2800000000e+02    6.0416674803e-05    1.0000000000e+00
        85   -3.6825429617e-01    3.0396954503e-01   -1.1039047642e+00    7.3565046804e-01   -1.1039047642e+00    1.2800000000e+02    6.0422426758e-05    1.0000000000e+00
        86   -3.5255119941e-01    2.9192759579e-01   -1.0900648029e+00    7.3751360346e-01   -1.0900648029e+00    1.2800000000e+02    5.9954780275e-05    1.0000000000e+00
        87   -3.5485124732e-01    2.9412185293e-01   -1.1036643033e+00    7.4881305597e-01   -1.1036643033e+00    1.2800000000e+02    6.0614013668e-05    1.0000000000e+00
        88   -3.5371481571e-01    2.9148049529e-01   -1.1038232442e+00    7.5010842846e-01   -1.1038232442e+00    1.2800000000e+02    5.9946542972e-05    1.0000000000e+00
        89   -3.5371064187e-01    2.8771387976e-01   -1.1127351484e+00    7.5902450654e-01   -1.1127351484e+00    1.2800000000e+02    5.9554648445e-05    1.0000000000e+00
        90   -3.4948924873e-01    2.8679406964e-01   -1.1102040538e+00    7.6071480508e-01   -1.1102040538e+00    1.2800000000e+02    6.0222548822e-05    1.0000000000e+00
        91   -3.4387152692e-01    2.8291617106e-01   -1.1155271413e+00    7.7165561435e-01   -1.1155271413e+00    1.2800000000e+02    6.0300747066e-05    1.0000000000e+00
        92   -3.4070936023e-01    2.8071829957e-01   -1.1093648133e+00    7.6865545302e-01   -1.1093648133e+00    1.2800000000e+02    7.4425229490e-05    1.0000000000e+00
        93   -3.4829778978e-01    2.8483448308e-01   -1.1162749421e+00    7.6797715228e-01   -1.1162749421e+00    1.2800000000e+02    5.9460336917e-05    1.0000000000e+00
        94   -3.5376351717e-01    2.8711158122e-01   -1.1177375556e+00    7.6397403844e-01   -1.1177375556e+00    1.2800000000e+02    5.9929125976e-05    1.0000000000e+00
        95   -3.5755195291e-01    2.9214388403e-01   -1.1224465317e+00    7.6489457880e-01   -1.1224465317e+00    1.2800000000e+02    6.0686547858e-05    1.0000000000e+00
        96   -3.5376551865e-01    2.8206164360e-01   -1.1262812710e+00    7.7251575237e-01   -1.1262812710e+00    1.2800000000e+02    6.0213823248e-05    1.0000000000e+00
        97   -3.4877321587e-01    2.8181943941e-01   -1.1194539260e+00    7.7068071009e-01   -1.1194539260e+00    1.2800000000e+02    6.0268969737e-05    1.0000000000e+00
