#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        84   -4.2861475264e-01    6.0744209682e-01   -1.2238101052e+00    7.9519535253e-01   -1.2238101052e+00    1.2800000000e+04    5.5050350049e-03    1.0000000000e+00
        85   -4.0022813261e-01    4.9435677445e-01   -1.1769137735e+00    7.7668564086e-01   -1.1769137735e+00    1.2800000000e+04    5.5243702393e-03    9.9968750000e-01
        86   -4.3436865808e-01    5.0636643945e-01   -1.1769430061e+00    7.4257434805e-01   -1.1769430061e+00    1.2800000000e+04    5.5187444092e-03    9.9992187500e-01
        87   -5.2958594848e-01    1.6723736777e+00   -1.2215811530e+00    6.9199520448e-01   -1.2215811530e+00    1.2800000000e+04    5.5197183691e-03    1.0000000000e+00
        88   -6.0108069402e-01    2.7860822432e+00   -1.3049386718e+00    7.0385797781e-01   -1.3049386718e+00    1.2800000000e+04    5.5257384619e-03    9.9984375000e-01
        89   -5.8428458864e-01    1.4007402405e+00   -1.3276859923e+00    7.4340140368e-01   -1.3276859923e+00    1.2800000000e+04    5.4995409863e-03    1.0000000000e+00
        90   -5.9036604648e-01    2.0111858264e+00   -1.3166520422e+00    7.2628599567e-01   -1.3166520422e+00    1.2800000000e+04    5.5191027344e-03    1.0000000000e+00
        91   -3.9751991176e-01    3.5047240059e-01   -1.1166347306e+00    7.1911481882e-01   -1.1166347306e+00    1.2800000000e+04    5.5228709521e-03    9.9992187500e-01
        92   -4.9633662728e-01    1.4373001734e+00   -1.2514399220e+00    7.5510329476e-01   -1.2514399220e+00    1.2800000000e+04    5.5229023145e-03    1.0000000000e+00
        93   -4.7914663394e-01    1.0320603197e+00   -1.2077853245e+00    7.2863869056e-01   -1.2077853245e+00    1.2800000000e+04    5.5238512988e-03    1.0000000000e+00
        94   -4.4115795528e-01    3.7460916255e-01   -1.1335586064e+00    6.9240065110e-01   -1.1335586064e+00    1.2800000000e+04    5.4991398486e-03    1.0000000000e+00
